iter	Passed	Remaining
160	1396	7276
161	1403	7261
162	1410	7245
163	1418	7233
164	1425	7212
165	1433	7199
166	1439	7180
167	1446	7164
168	1453	7147
169	1457	7114
170	1465	7103
171	1470	7079
172	1477	7062
173	1484	7046
174	1489	7021
175	1497	7013
176	1504	6996
177	1512	6984
178	1518	6965
179	1525	6950
180	1533	6938
181	1540	6922
182	1546	6906
183	1552	6884
184	1560	6873
185	1566	6857
186	1574	6843
187	1577	6815
188	1582	6792
189	1589	6777
190	1596	6762
191	1604	6751
192	1611	6738
193	1618	6726
194	1625	6708
195	1628	6682
196	1636	6669
197	1642	6653
198	1646	6627
199	1653	6614
200	1660	6601
201	1667	6587
202	1671	6562
203	1676	6543
204	1682	6525
205	1688	6506
206	1691	6479
207	1698	6467
208	1705	6452
209	1711	6439
210	1720	6434
211	1728	6422
212	1735	6412
213	1741	6396
214	1752	6398
215	1757	6380
216	1764	6367
217	1771	6355
218	1777	6339
219	1785	6331
220	1792	6318
221	1799	6305
222	1806	6293
223	1814	6287
224	1823	6279
225	1829	6266
226	1836	6253
227	1843	6241
228	1850	6228
229	1856	6216
230	1864	6206
231	1871	6196
232	1878	6183
233	1885	6173
234	1892	6161
235	1899	6149
236	1905	6135
237	1909	6113
238	1915	6100
239	1922	6088
240	1929	6077
241	1933	6056
242	1943	6054
243	1950	6043
244	1957	6032
245	1964	6019
246	1971	6009
247	1978	5998
248	1983	5982
249	1989	5969
250	1996	5958
251	2003	5946
252	2011	5939
253	2014	5917
254	2020	5902
255	2027	5892
256	2034	5880
257	2040	5868
258	2047	5856
259	2053	5844
260	2057	5825
261	2063	5813
262	2070	5801
263	2075	5786
264	2082	5775
265	2089	5764
266	2098	5761
267	2104	5749
268	2112	5739
269	2119	5730
270	2126	5721
271	2133	5711
272	2140	5700
273	2147	5690
274	2154	5681
275	2161	5671
276	2169	5661
277	2175	5650
278	2182	5639
279	2187	5625
280	2194	5614
281	2198	5597
282	2204	5586
283	2211	5575
284	2218	5565
285	2225	5555
286	2232	5545
287	2239	5536
288	2246	5527
289	2255	5522
290	2263	5513
291	2270	5504
292	2277	5496
293	2284	5485
294	2290	5475
295	2297	5465
296	2305	5456
297	2312	5448
298	2319	5438
299	2327	5430
300	2333	5419
301	2340	5410
302	2347	5400
303	2354	5389
304	2360	5379
305	2367	5368
306	2373	5356
307	2379	5345
308	2386	5335
309	2392	5326
310	2399	5315
311	2406	5305
312	2412	5295
313	2419	5285
314	2425	5274
315	2432	5264
316	2438	5254
317	2445	5244
318	2450	5232
319	2458	5224
320	2467	5218
321	2474	5209
322	2481	5201
323	2490	5195
324	2497	5187
325	2512	5194
326	2519	5185
327	2526	5176
328	2534	5169
329	2543	5163
330	2556	5167
331	2565	5161
332	2572	5151
333	2579	5143
334	2586	5135
335	2594	5126
336	2601	5117
337	2607	5107
338	2618	5104
339	2625	5095
340	2633	5090
341	2641	5083
342	2653	5081
343	2660	5073
344	2667	5064
345	2674	5055
346	2681	5046
347	2688	5037
348	2695	5028
349	2702	5019
350	2709	5009
351	2715	4998
352	2722	4990
353	2731	4985
354	2738	4975
355	2745	4966
356	2752	4958
357	2759	4949
358	2768	4942
359	2774	4933
360	2782	4925
361	2788	4915
362	2796	4907
363	2805	4901
364	2812	4892
365	2818	4883
366	2826	4875
367	2835	4869
368	2857	4886
369	2863	4876
370	2870	4866
371	2876	4856
372	2883	4846
373	2890	4838
374	2897	4829
375	2905	4821
376	2911	4811
377	2918	4802
378	2925	4793
379	2931	4783
380	2939	4775
381	2945	4765
382	2952	4757
383	2959	4747
384	2966	4738
385	2974	4730
386	2981	4722
387	2988	4713
388	2994	4704
389	3002	4696
390	3009	4687
391	3017	4679
392	3024	4670
393	3031	4663
394	3038	4653
395	3044	4644
396	3053	4637
397	3059	4627
398	3066	4619
399	3073	4609
400	3080	4601
401	3087	4592
402	3094	4583
403	3101	4575
404	3107	4565
405	3115	4557
406	3121	4548
407	3129	4540
408	3136	4531
409	3143	4523
410	3150	4515
411	3157	4506
412	3165	4498
413	3172	4490
414	3179	4482
415	3187	4474
416	3194	4466
417	3201	4457
418	3208	4449
419	3215	4440
420	3224	4434
421	3231	4426
422	3254	4439
423	3261	4430
424	3269	4423
425	3276	4414
426	3283	4406
427	3290	4397
428	3296	4387
429	3303	4379
430	3310	4370
431	3317	4362
432	3324	4353
433	3330	4344
434	3338	4336
435	3346	4328
436	3352	4319
437	3359	4311
438	3372	4309
439	3379	4301
440	3385	4291
441	3392	4282
442	3400	4274
443	3407	4266
444	3414	4258
445	3421	4249
446	3428	4241
447	3434	4232
448	3441	4223
449	3448	4214
450	3454	4205
451	3462	4197
452	3468	4188
453	3475	4180
454	3482	4170
455	3489	4162
456	3496	4154
457	3503	4145
458	3510	4137
459	3517	4129
460	3527	4124
461	3534	4116
462	3542	4108
463	3548	4099
464	3555	4090
465	3562	4082
466	3570	4074
467	3576	4066
468	3658	4141
469	3664	4132
470	3671	4123
471	3677	4114
472	3684	4105
473	3691	4096
474	3699	4088
475	3706	4080
476	3714	4072
477	3725	4068
478	3731	4059
479	3738	4050
480	3746	4042
481	3752	4032
482	3759	4024
483	3766	4015
484	3773	4006
485	3780	3998
486	3787	3989
487	3795	3981
488	3801	3972
489	3809	3965
490	3815	3955
491	3822	3947
492	3829	3938
493	3835	3928
494	3843	3920
495	3849	3911
496	3857	3903
497	3863	3894
498	3871	3886
499	3877	3877
500	3883	3868
501	3890	3859
502	3897	3850
503	3905	3843
504	3911	3833
505	3918	3825
506	3924	3816
507	3931	3807
508	3938	3799
509	3945	3790
510	3952	3782
511	3960	3774
512	3968	3767
513	4013	3794
514	4019	3785
515	4026	3776
516	4034	3768
517	4040	3759
518	4047	3751
519	4055	3743
520	4063	3736
521	4070	3727
522	4078	3719
523	4085	3711
524	4093	3703
525	4100	3694
526	4106	3685
527	4113	3677
528	4120	3668
529	4128	3661
530	4135	3652
531	4142	3643
532	4148	3634
533	4154	3625
534	4161	3617
535	4167	3608
536	4175	3599
537	4180	3590
538	4187	3581
539	4194	3572
540	4200	3563
541	4207	3555
542	4214	3546
543	4221	3538
544	4228	3530
545	4236	3522
546	4243	3513
547	4249	3505
548	4256	3497
549	4263	3488
550	4271	3480
551	4278	3472
552	4286	3464
553	4292	3455
554	4299	3447
555	4306	3438
556	4313	3430
557	4320	3422
558	4326	3413
559	4332	3404
560	4339	3395
561	4346	3387
562	4353	3378
563	4359	3370
564	4366	3361
565	4374	3354
566	4381	3345
567	4387	3336
568	4394	3328
569	4400	3319
570	4409	3313
571	4416	3304
572	4424	3296
573	4431	3288
574	4438	3280
575	4445	3272
576	4451	3263
577	4459	3255
578	4465	3247
579	4473	3239
580	4479	3230
581	4486	3222
582	4493	3214
583	4500	3205
584	4507	3197
585	4514	3189
586	4521	3181
587	4527	3172
588	4533	3163
589	4540	3155
590	4546	3146
591	4555	3139
592	4562	3131
593	4570	3123
594	4577	3115
595	4584	3107
596	4592	3099
597	4600	3092
598	4607	3084
599	4615	3076
600	4622	3068
601	4631	3061
602	4638	3053
603	4645	3045
604	4652	3037
605	4660	3030
606	4667	3022
607	4674	3013
608	4682	3006
609	4689	2997
610	4700	2992
611	4707	2984
612	4714	2976
613	4721	2968
614	4730	2961
615	4737	2953
616	4744	2945
617	4750	2936
618	4757	2928
619	4764	2920
620	4772	2912
621	4777	2903
622	4783	2894
623	4789	2886
624	4796	2877
625	4803	2869
626	4810	2861
627	4817	2853
628	4829	2848
629	4836	2840
630	4842	2831
631	4851	2824
632	4857	2816
633	4864	2808
634	4869	2798
635	4875	2790
636	4882	2782
637	4886	2772
638	4892	2763
639	4900	2756
640	4906	2748
641	4914	2740
642	4920	2731
643	4927	2723
644	4933	2715
645	4940	2707
646	4947	2699
647	4955	2691
648	4963	2684
649	4970	2676
650	4978	2668
651	4983	2659
652	4990	2652
653	4997	2644
654	5004	2636
655	5011	2628
656	5019	2620
657	5028	2613
658	5035	2605
659	5044	2598
660	5053	2591
661	5060	2583
662	5068	2576
663	5077	2569
664	5084	2561
665	5090	2553
666	5097	2544
667	5104	2537
668	5111	2528
669	5119	2521
670	5127	2513
671	5134	2506
672	5142	2498
673	5150	2491
674	5157	2483
675	5164	2475
676	5171	2467
677	5179	2459
678	5186	2452
679	5194	2444
680	5200	2436
681	5207	2428
682	5214	2420
683	5220	2411
684	5228	2404
685	5234	2395
686	5242	2388
687	5248	2380
688	5254	2371
689	5261	2363
690	5267	2355
691	5275	2347
692	5281	2339
693	5288	2331
694	5295	2324
695	5303	2316
696	5309	2308
697	5317	2300
698	5324	2292
699	5331	2284
700	5338	2276
701	5344	2268
702	5352	2261
703	5358	2253
704	5364	2244
705	5371	2236
706	5378	2228
707	5385	2221
708	5391	2212
709	5398	2204
710	5404	2196
711	5411	2188
712	5418	2181
713	5424	2173
714	5431	2165
715	5438	2157
716	5445	2149
717	5451	2141
718	5457	2132
719	5464	2125
720	5471	2117
721	5479	2109
722	5486	2101
723	5494	2094
724	5501	2086
725	5509	2079
726	5516	2071
727	5523	2063
728	5530	2055
729	5536	2047
730	5544	2040
731	5550	2032
732	5557	2024
733	5564	2016
734	5570	2008
735	5577	2000
736	5583	1992
737	5590	1984
738	5597	1976
739	5604	1969
740	5610	1961
741	5618	1953
742	5624	1945
743	5631	1937
744	5637	1929
745	5644	1921
746	5651	1914
747	5658	1906
748	5665	1898
749	5671	1890
750	5678	1882
751	5684	1874
752	5691	1866
753	5698	1859
754	5705	1851
755	5712	1843
756	5718	1835
757	5725	1827
758	5731	1819
759	5737	1811
760	5744	1804
761	5751	1796
762	5759	1788
763	5765	1780
764	5770	1772
765	5777	1764
766	5783	1756
767	5791	1749
768	5797	1741
769	5803	1733
770	5810	1725
771	5817	1718
772	5824	1710
773	5831	1702
774	5838	1695
775	5845	1687
776	5853	1679
777	5859	1672
778	5866	1664
779	5873	1656
780	5879	1648
781	5886	1641
782	5893	1633
783	5900	1625
784	5906	1617
785	5912	1609
786	5919	1602
787	5925	1594
788	5933	1586
789	5939	1578
790	5947	1571
791	5953	1563
792	5959	1555
793	5966	1547
794	5972	1540
795	5980	1532
796	5986	1524
797	5992	1516
798	6000	1509
799	6007	1501
800	6017	1495
801	6025	1487
802	6031	1479
803	6038	1472
804	6045	1464
805	6051	1456
806	6058	1449
807	6065	1441
808	6071	1433
809	6078	1425
810	6084	1417
811	6091	1410
812	6097	1402
813	6104	1394
814	6110	1387
815	6117	1379
816	6124	1371
817	6130	1363
818	6137	1356
819	6142	1348
820	6148	1340
821	6155	1332
822	6161	1325
823	6167	1317
824	6175	1309
825	6181	1302
826	6188	1294
827	6195	1286
828	6202	1279
829	6208	1271
830	6215	1264
831	6221	1256
832	6227	1248
833	6235	1241
834	6242	1233
835	6249	1226
836	6255	1218
837	6263	1210
838	6269	1203
839	6276	1195
840	6282	1187
841	6288	1180
842	6296	1172
843	6302	1164
844	6309	1157
845	6314	1149
846	6320	1141
847	6328	1134
848	6334	1126
849	6341	1119
850	6347	1111
851	6354	1103
852	6365	1097
853	6373	1089
854	6379	1081
855	6386	1074
856	6394	1066
857	6401	1059
858	6408	1051
859	6414	1044
860	6422	1036
861	6428	1029
862	6436	1021
863	6443	1014
864	6449	1006
865	6457	999
866	6463	991
867	6471	984
868	6478	976
869	6486	969
870	6493	961
871	6500	954
872	6506	946
873	6514	939
874	6521	931
875	6529	924
876	6535	916
877	6542	909
878	6550	901
879	6557	894
880	6564	886
881	6571	879
882	6579	871
883	6585	864
884	6593	856
885	6599	849
886	6606	841
887	6613	834
888	6619	826
889	6626	818
890	6632	811
891	6639	803
892	6646	796
893	6653	788
894	6658	781
895	6665	773
896	6672	766
897	6678	758
898	6685	751
899	6691	743
900	6697	735
901	6706	728
902	6713	721
903	6720	713
904	6727	706
905	6734	698
906	6741	691
907	6749	683
908	6755	676
909	6761	668
910	6769	661
911	6775	653
912	6782	646
913	6789	638
914	6796	631
915	6803	623
916	6809	616
917	6816	608
918	6822	601
919	6830	593
920	6837	586
921	6844	579
922	6851	571
923	6858	564
924	6864	556
925	6869	548
926	6876	541
927	6883	534
928	6890	526
929	6897	519
930	6905	511
931	6912	504
932	6919	496
933	6928	489
934	6934	482
935	6941	474
936	6948	467
937	6957	459
938	6964	452
939	6973	445
940	6979	437
941	6987	430
942	6993	422
943	7001	415
944	7007	407
945	7014	400
946	7021	392
947	7028	385
948	7035	378
949	7042	370
950	7049	363
951	7056	355
952	7064	348
953	7071	340
954	7079	333
955	7089	326
956	7096	318
957	7102	311
958	7109	303
959	7115	296
960	7121	289
961	7129	281
962	7136	274
963	7143	266
964	7150	259
965	7157	251
966	7164	244
967	7170	237
968	7178	229
969	7185	222
970	7192	214
971	7198	207
972	7206	199
973	7212	192
974	7219	185
975	7226	177
976	7234	170
977	7244	162
978	7251	155
979	7258	148
980	7264	140
981	7271	133
982	7278	125
983	7286	118
984	7293	111
985	7301	103
986	7307	96
987	7314	88
988	7321	81
989	7328	74
990	7335	66
991	7342	59
992	7349	51
993	7356	44
994	7363	37
995	7369	29
996	7376	22
997	7383	14
998	7389	7
999	7397	0
