iter	Logloss
0	0.6689911342
1	0.6451427685
2	0.6247834776
3	0.6042954092
4	0.5870937315
5	0.5712822204
6	0.5562915202
7	0.5422964797
8	0.5294591792
9	0.5180604116
10	0.5070589396
11	0.4979734141
12	0.4895927968
13	0.4819064018
14	0.4752963246
15	0.4679739071
16	0.4609829843
17	0.4549982541
18	0.4490323545
19	0.4439530133
20	0.4395282075
21	0.4352929905
22	0.4314767807
23	0.4284204638
24	0.4252531536
25	0.4219809368
26	0.4193156942
27	0.4168233601
28	0.4145133183
29	0.4123142697
30	0.4101053442
31	0.4083621818
32	0.4065902732
33	0.4051644291
34	0.4036928727
35	0.4021277066
36	0.4007944198
37	0.3995669565
38	0.3983564767
39	0.3973318987
40	0.3961486036
41	0.3949829723
42	0.3939754332
43	0.3931640837
44	0.392342715
45	0.3914925694
46	0.3908500421
47	0.3902085371
48	0.3896161222
49	0.389174318
50	0.3886875958
51	0.3883114046
52	0.3879265408
53	0.3876645604
54	0.3874168821
55	0.3869888105
56	0.3867008081
57	0.3864124299
58	0.3862020868
59	0.3857876577
60	0.3854003464
61	0.3850512886
62	0.3847197228
63	0.384406211
64	0.3841292297
65	0.3838887294
66	0.3836436366
67	0.3833804675
68	0.3832229397
69	0.3830219076
70	0.3828927838
71	0.3827206532
72	0.3825929864
73	0.3825354007
74	0.3823963389
75	0.3823450949
76	0.3822110547
77	0.3820183043
78	0.3818914578
79	0.381830664
80	0.381782452
81	0.3816415205
82	0.3814478712
83	0.381349814
84	0.3812078738
85	0.381107386
86	0.3810313538
87	0.3809321491
88	0.3808388218
89	0.3806976106
90	0.3805923224
91	0.3804918239
92	0.3804240253
93	0.3803530308
94	0.3802819827
95	0.3801829815
96	0.3800596513
97	0.3799856271
98	0.3799335725
99	0.3799257232
100	0.3798074802
101	0.3797617035
102	0.3797338113
103	0.3796700264
104	0.3795744244
105	0.3795157762
106	0.3794783338
107	0.3794052115
108	0.3793700637
109	0.3793152908
110	0.3793002476
111	0.3792906188
112	0.3792130736
113	0.3791749745
114	0.3791681402
115	0.3790822893
116	0.3790547292
117	0.3789995328
118	0.3789807671
119	0.3789556624
120	0.3788976874
121	0.3788491502
122	0.3787847243
123	0.3787324883
124	0.3786628683
125	0.3786382684
126	0.3785922607
127	0.3785673529
128	0.3785236878
129	0.3784664675
130	0.3784212565
131	0.3783945766
132	0.378353639
133	0.3783455609
134	0.3783049086
135	0.3782528949
136	0.37822384
137	0.3782069132
138	0.3781675392
139	0.3781417559
140	0.3781290376
141	0.3780944374
142	0.3780688892
143	0.3780161026
144	0.3779749474
145	0.377944675
146	0.3779274454
147	0.377894254
148	0.3778772913
149	0.3778337193
150	0.3778056831
151	0.377781795
152	0.3777476979
153	0.3776958301
154	0.3776655397
155	0.3776466021
156	0.3775984286
157	0.3775844024
158	0.377573039
159	0.3775368151
160	0.3775182944
161	0.377479326
162	0.3774245686
163	0.377396224
164	0.3773626592
165	0.3773284379
166	0.3773052486
167	0.3772734262
168	0.3772639066
169	0.3772626207
170	0.3772339692
171	0.3772311395
172	0.3772189089
173	0.3772047443
174	0.3771715356
175	0.3771480266
176	0.3771347895
177	0.3771034205
178	0.3770868004
179	0.3770739692
180	0.3770658505
181	0.3770314029
182	0.3770167109
183	0.3770058261
184	0.3769698137
185	0.3769350486
186	0.3769128082
187	0.3769127749
188	0.3768849043
189	0.3768382611
190	0.3768273903
191	0.3768043907
192	0.3767877837
193	0.3767085
194	0.3767078693
195	0.3767036946
196	0.3766859495
197	0.3766480815
198	0.3766459381
199	0.3766219064
200	0.3765988875
201	0.3765775328
202	0.3765737244
203	0.3765600439
204	0.3765459951
205	0.3765424083
206	0.3765423707
207	0.3765186166
208	0.3765086232
209	0.3764990192
210	0.3764719483
211	0.3764463738
212	0.3764034315
213	0.3763836684
214	0.3763664537
215	0.3763461408
216	0.3763258413
217	0.3762989529
218	0.3762637519
219	0.3762442341
220	0.3762340629
221	0.3762096333
222	0.3762046302
223	0.3761752063
224	0.3761618075
225	0.376135577
226	0.3761139953
227	0.3760985302
228	0.3760797127
229	0.3760691325
230	0.3760525396
231	0.3760156073
232	0.3760065201
233	0.3759651389
234	0.3759228723
235	0.3758905675
236	0.3758787194
237	0.3758786978
238	0.3758559256
239	0.3758298521
240	0.3757956464
241	0.3757956237
242	0.3757811899
243	0.3757324897
244	0.3757023131
245	0.3757002219
246	0.3756904844
247	0.375682945
248	0.3756587548
249	0.3756550786
250	0.3756371079
251	0.375596191
252	0.3755757658
253	0.37557561
254	0.3755713145
255	0.3755524968
256	0.3755386621
257	0.375525517
258	0.3755216373
259	0.3755124967
260	0.3755124824
261	0.3754739654
262	0.3754395957
263	0.3754284845
264	0.3754037627
265	0.375375144
266	0.3753545108
267	0.3753411655
268	0.3753013085
269	0.3752836381
270	0.3752572136
271	0.375242332
272	0.3752081694
273	0.3751890821
274	0.3751666897
275	0.3751421822
276	0.375099277
277	0.3750679035
278	0.3750436929
279	0.3749926635
280	0.3749630482
281	0.3749630454
282	0.3749596874
283	0.3749438763
284	0.3749182067
285	0.3748841206
286	0.3748641549
287	0.3748313233
288	0.3747981154
289	0.3747649149
290	0.374756884
291	0.3747218572
292	0.3747008066
293	0.3746913624
294	0.3746673403
295	0.374643623
296	0.3746252174
297	0.3746179738
298	0.374591991
299	0.3745633066
300	0.3745295369
301	0.3745172771
302	0.3744925693
303	0.374465197
304	0.3744388377
305	0.3744003035
306	0.3743955235
307	0.3743774671
308	0.3743558877
309	0.3743147497
310	0.374299381
311	0.3742740577
312	0.374255452
313	0.3742174154
314	0.3741898041
315	0.37414329
316	0.3741162548
317	0.3740852854
318	0.3740852685
319	0.3740796837
320	0.3740466827
321	0.3740245685
322	0.3740092073
323	0.3740075285
324	0.3739882124
325	0.3739591381
326	0.3739381949
327	0.3739193811
328	0.3738927578
329	0.3738734404
330	0.3738501972
331	0.3738274425
332	0.3738089898
333	0.3737814516
334	0.3737381908
335	0.3737213503
336	0.3736947522
337	0.3736646053
338	0.37364621
339	0.3736432606
340	0.3736400759
341	0.3736126077
342	0.3735845488
343	0.3735681169
344	0.373542615
345	0.3735212352
346	0.3734870472
347	0.3734832532
348	0.3734477617
349	0.3734244142
350	0.3733963405
351	0.3733741497
352	0.3733446449
353	0.3733163637
354	0.3732979041
355	0.3732795886
356	0.3732642524
357	0.3732383902
358	0.3731961803
359	0.37316514
360	0.3731444017
361	0.3731030312
362	0.3730897203
363	0.3730532684
364	0.3730372412
365	0.3730069025
366	0.3729928585
367	0.3729646998
368	0.372928966
369	0.3729227661
370	0.3729174608
371	0.3729173601
372	0.3728997272
373	0.3728958584
